City,location_id,Cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year,Latitude,Longitude
Tallahassee FL-Thomasville GA,530,70,40,57,42,38,42,17,45,61,2007,30.3350027,-84.2105744
Tampa-St. Petersburg (Sarasota) FL,539,69,32,53,31,40,37,21,20,47,2007,28.274347,-82.3885783
Terre Haute IN,581,66,23,56,48,40,49,17,39,67,2007,39.4667034,-87.4139092
Toledo OH,547,65,27,53,37,37,35,22,37,60,2007,41.6528052,-83.5378674
Topeka KS,605,54,26,54,40,22,58,26,44,64,2007,39.0473451,-95.6751576
Traverse City-Cadillac MI,540,60,31,70,43,29,42,16,36,70,2007,44.7354212,-85.5946084
Tri-Cities TN-VA,531,65,45,67,41,29,39,26,27,65,2007,36.5450182,-82.5555539
Tucson (Sierra Vista) AZ,789,62,25,46,36,28,37,23,29,56,2007,32.2709837,-110.9614306
Tulsa OK,671,63,21,54,28,39,30,17,18,52,2007,36.1539816,-95.992775
Twin Falls ID,760,59,27,80,31,30,38,17,41,66,2007,42.5558381,-114.4700518
Tyler-Longview(Lufkin & Nacogdoches) TX,709,52,30,54,36,45,39,29,36,51,2007,,
Utica NY,526,52,16,54,41,34,20,20,18,54,2007,43.100903,-75.232664
Victoria TX,626,69,22,46,43,32,64,13,0,43,2007,28.8052674,-97.0035982
Waco-Temple-Bryan TX,625,56,34,50,32,28,42,20,37,52,2007,31.6046625,-97.1980025
Washington DC (Hagerstown MD),511,62,29,45,30,30,52,18,28,53,2007,39.642645,-77.721057
Watertown NY,549,53,34,59,37,30,45,13,39,40,2007,43.9747838,-75.9107565
Wausau-Rhinelander WI,705,63,58,72,38,43,49,20,30,48,2007,45.6555505,-89.3920037
West Palm Beach-Ft. Pierce FL,548,63,34,45,30,38,34,15,22,46,2007,27.366166,-80.2467597
Wheeling WV-Steubenville OH,554,82,30,69,52,25,62,26,31,62,2007,40.3668048,-80.6317037
Wichita Falls TX & Lawton OK,627,46,46,56,32,57,39,18,36,62,2007,34.6092311,-98.418011
Wichita-Hutchinson KS,678,62,37,63,39,28,37,21,37,50,2007,37.6871761,-97.330053
Wilkes Barre-Scranton PA,577,69,24,57,46,36,48,22,41,56,2007,41.2343893,-75.8534771
Wilmington NC,550,65,29,61,37,41,39,27,29,54,2007,34.2103894,-77.8868117
Yakima-Pasco-Richland-Kennewick WA,810,59,20,53,36,18,43,18,38,57,2007,46.2529128,-119.230849
Youngstown OH,536,65,27,59,45,29,21,19,42,64,2007,41.0997803,-80.6495194
Yuma AZ-El Centro CA,771,42,42,29,52,16,39,16,48,26,2007,32.6926512,-114.6276916
Zanesville OH,596,56,36,46,43,27,46,34,28,39,2007,39.9403453,-82.0131924
Abilene-Sweetwater TX,662,54,7,61,30,85,24,55,21,43,2008,32.4106903,-99.7653019
Albany GA,525,66,23,65,28,50,17,34,16,44,2008,31.5785074,-84.155741
Albany-Schenectady-Troy NY,532,69,17,64,31,61,25,56,27,46,2008,42.7636479,-73.6536209
Albuquerque-Santa Fe NM,790,62,13,63,31,50,29,45,24,53,2008,35.658802,-105.9603685
Alexandria LA,644,54,23,40,27,59,17,41,21,42,2008,31.3112936,-92.4451371
Alpena MI,583,92,0,0,100,0,100,0,0,100,2008,45.0616794,-83.4327528
Amarillo TX,634,51,20,49,27,54,30,44,21,41,2008,35.2219971,-101.8312969
Anchorage AK,743,53,13,70,25,40,25,46,22,42,2008,61.2180556,-149.9002778
Atlanta GA,524,66,21,54,26,56,22,50,19,42,2008,33.7489954,-84.3879824
Augusta GA,520,71,26,67,35,79,20,58,25,49,2008,33.4734978,-82.0105148
Austin TX,635,55,21,50,27,57,22,60,20,42,2008,30.267153,-97.7430608
Bakersfield CA,800,53,9,68,27,49,16,32,38,40,2008,35.3732921,-119.0187125
Baltimore MD,512,72,30,61,31,66,31,59,27,47,2008,39.2903848,-76.6121893
Bangor ME,537,78,18,75,48,59,25,27,37,54,2008,44.8016128,-68.7712257
Baton Rouge LA,716,62,25,54,27,64,23,59,34,47,2008,30.4514677,-91.1871466
Beaumont-Port Arthur TX,692,65,20,45,26,51,18,55,13,41,2008,30.080174,-94.1265562
Bend OR,821,58,6,71,29,65,22,65,22,43,2008,44.0581728,-121.3153096
"Billings, MT",756,60,17,51,43,51,26,33,30,47,2008,45.7832856,-108.5006904
Biloxi-Gulfport MS,746,62,25,76,24,64,14,35,22,42,2008,30.3674198,-89.0928155
Binghamton NY,502,65,15,62,37,57,29,85,28,41,2008,42.0986867,-75.9179738
Birmingham AL,630,69,33,73,30,70,22,57,27,48,2008,33.5185892,-86.8103567
Bluefield-Beckley-Oak Hill WV,559,69,22,76,31,80,53,61,43,40,2008,37.2698395,-81.2223195
Boise ID,757,56,17,63,34,66,25,50,28,45,2008,43.6150186,-116.2023137
Boston MA-Manchester NH,506,72,21,61,30,79,26,52,22,46,2008,42.929687,-71.4352177
Bowling Green KY,736,66,25,72,30,54,24,59,51,48,2008,36.9685219,-86.4808043
Buffalo NY,514,79,21,67,37,71,25,43,37,47,2008,42.8864468,-78.8783689
Burlington VT-Plattsburgh NY,523,72,22,65,37,68,32,60,32,47,2008,44.6988382,-73.3804304
Butte-Bozeman MT,754,53,15,95,40,43,39,41,26,39,2008,45.671834,-111.089227
Casper-Riverton WY,767,52,11,82,32,67,18,15,32,44,2008,42.8505217,-106.3085313
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,637,73,32,58,35,59,28,79,36,48,2008,41.9778795,-91.6656232
Champaign & Springfield-Decatur IL,648,72,33,66,37,47,25,46,48,53,2008,,
Charleston SC,519,71,23,68,27,62,28,69,23,51,2008,32.7764749,-79.9310512
Charleston-Huntington WV,564,82,28,84,33,67,33,58,43,58,2008,38.4123775,-82.4270257
Charlotte NC,517,60,21,53,29,64,23,59,27,43,2008,35.2270869,-80.8431267
Charlottesville VA,584,74,23,61,32,49,28,43,23,52,2008,38.0293059,-78.4766781
Chattanooga TN,575,70,18,73,32,67,21,60,26,54,2008,35.0456297,-85.3096801
Cheyenne WY-Scottsbluff NE,759,54,30,65,37,45,22,55,24,40,2008,41.876312,-103.637984
Chicago IL,602,65,19,53,28,55,20,51,20,43,2008,41.8781136,-87.6297982
Chico-Redding CA,868,56,16,85,30,55,21,31,26,37,2008,39.775148,-121.8699698
Cincinnati OH,515,68,18,66,32,53,25,63,28,48,2008,39.1031182,-84.5120196
Clarksburg-Weston WV,598,70,15,46,26,68,27,63,41,48,2008,39.2638017,-80.326903
Cleveland-Akron (Canton) OH,510,68,20,59,31,53,20,48,23,43,2008,41.0953742,-81.5867677
Colorado Springs-Pueblo CO,752,54,12,60,30,49,20,47,21,39,2008,38.7978203,-104.7935738
Columbia SC,546,67,20,60,28,63,20,40,26,46,2008,34.0007104,-81.0348144
Columbia-Jefferson City MO,604,73,30,85,40,64,33,65,47,57,2008,38.9517053,-92.3340724
Columbus GA,522,59,29,66,30,65,16,35,36,47,2008,32.4609764,-84.9877094
Columbus OH,535,69,17,59,30,59,23,58,26,44,2008,39.9611755,-82.9987942
Columbus-Tupelo-West Point MS,673,58,27,58,31,43,23,37,46,53,2008,34.2708332,-88.7150718
Corpus Christi TX,600,61,10,46,26,56,20,46,25,49,2008,27.8005828,-97.396381
Dallas-Ft. Worth TX,623,57,19,52,26,53,19,51,18,39,2008,32.7766642,-96.7969879
Davenport IA-Rock Island-Moline IL,682,61,19,47,34,48,24,40,27,43,2008,41.5067003,-90.5151342
Dayton OH,542,62,17,60,31,55,22,57,27,41,2008,39.7589478,-84.1916069
Denver CO,751,59,17,58,29,53,23,53,20,39,2008,39.7392358,-104.990251
Des Moines-Ames IA,679,64,16,59,31,51,27,54,29,52,2008,42.0236281,-93.6097448
Detroit MI,505,67,25,63,33,52,23,53,23,43,2008,42.331427,-83.0457538
Dothan AL,606,54,13,72,34,95,19,81,22,38,2008,31.2232313,-85.3904888
Duluth MN-Superior WI,676,65,18,80,43,62,26,55,36,56,2008,46.7207737,-92.1040796
El Paso TX,765,54,19,39,24,39,20,49,37,54,2008,31.7618778,-106.4850217
Elmira NY,565,61,9,57,34,38,21,24,28,32,2008,42.0897965,-76.8077338
Erie PA,516,84,26,60,38,69,37,49,38,56,2008,42.1292241,-80.085059
Eugene OR,801,54,20,68,35,42,25,49,35,43,2008,44.0520691,-123.0867536
Eureka CA,802,58,14,94,40,56,25,48,32,41,2008,40.8020712,-124.1636729
Evansville IN,649,69,24,65,32,63,23,57,19,51,2008,37.9715592,-87.5710898
Fairbanks AK,745,53,17,77,40,38,23,17,27,42,2008,64.8377778,-147.7163888
Fargo-Valley City ND,724,68,22,79,35,48,27,59,35,53,2008,46.9243955,-98.0035186
Flint-Saginaw-Bay City MI,513,65,23,58,38,53,20,47,40,43,2008,43.5993199,-83.8890847
Florence-Myrtle Beach SC,570,62,15,51,35,67,16,36,26,44,2008,33.703071,-78.8892497
Fresno-Visalia CA,866,52,20,48,32,49,16,45,31,39,2008,36.32166,-119.3148878
Ft. Myers-Naples FL,571,77,34,74,31,63,18,40,16,40,2008,26.1411682,-81.7935098
Ft. Smith-Fayetteville-Springdale-Rogers AR,670,52,15,55,29,56,19,49,25,38,2008,,
Ft. Wayne IN,509,70,19,55,33,49,23,55,28,48,2008,41.079273,-85.1393513
Gainesville FL,592,71,40,83,31,73,29,61,45,62,2008,29.6516344,-82.3248262
Glendive MT,798,85,0,0,0,0,0,0,0,0,2008,47.106401,-104.7107931
Grand Junction-Montrose CO,773,54,15,53,33,57,30,46,31,52,2008,38.4967651,-107.8989028
Grand Rapids-Kalamazoo-Battle Creek MI,563,62,22,60,35,54,23,54,34,40,2008,42.2355515,-85.5515933
Great Falls MT,755,50,24,69,33,55,22,53,19,31,2008,47.5052849,-111.3007715
Green Bay-Appleton WI,658,60,14,64,35,54,24,55,25,45,2008,44.2667743,-88.3850175
Greensboro-High Point-Winston Salem NC,518,70,21,68,28,60,22,45,31,48,2008,35.9556923,-80.0053176
Greenville-New Bern-Washington NC,545,70,41,63,33,76,27,54,43,52,2008,35.5984979,-77.0577179
Greenville-Spartanburg SC-Asheville NC-Anderson SC,567,65,19,66,33,56,22,57,27,43,2008,34.8526176,-82.3940104
Greenwood-Greenville MS,647,92,100,92,20,77,26,84,100,54,2008,33.5171152,-90.1763225
Harlingen-Weslaco-Brownsville-McAllen TX,636,51,22,40,26,54,17,34,31,54,2008,,
Harrisburg-Lancaster-Lebanon-York PA,566,73,19,57,33,70,25,59,23,50,2008,39.9830208,-76.7197723
Harrisonburg VA,569,64,26,46,50,100,27,54,55,46,2008,38.4495688,-78.8689155
Hartford & New Haven CT,533,72,20,61,34,70,26,54,28,44,2008,41.3055024,-72.9267354
Hattiesburg-Laurel MS,710,66,25,52,31,49,14,71,36,46,2008,31.468239,-89.335421
Helena MT,766,65,10,87,41,47,21,53,30,51,2008,46.5891452,-112.0391057
Honolulu HI,744,54,16,67,24,47,20,52,22,44,2008,21.3069444,-157.8583333
Houston TX,618,69,24,54,25,46,22,51,18,43,2008,29.7604267,-95.3698028
Huntsville-Decatur (Florence) AL,691,64,19,74,29,69,21,58,22,48,2008,34.8279976,-87.6209133
Idaho Falls-Pocatello ID,758,56,21,54,39,56,21,73,31,51,2008,42.906046,-112.4315298
Indianapolis IN,527,71,26,59,34,56,25,56,36,60,2008,39.768403,-86.158068
Jackson MS,718,62,24,56,33,62,18,55,29,46,2008,32.2987573,-90.1848103
Jackson TN,639,58,16,47,27,52,15,80,20,41,2008,35.6145169,-88.8139469
Jacksonville FL,561,61,20,64,23,74,22,50,23,47,2008,30.3321838,-81.655651
Johnstown-Altoona PA,574,61,21,66,35,49,22,69,43,44,2008,40.4529782,-78.3930329
Jonesboro AR,734,68,41,82,29,93,13,63,41,49,2008,35.8422967,-90.704279
Joplin MO-Pittsburg KS,603,56,7,40,38,59,16,63,43,50,2008,37.3948426,-94.700525
Juneau AK,747,68,0,87,25,29,25,19,0,37,2008,58.3019444,-134.4197221
Kansas City MO,616,65,24,58,29,59,22,55,23,44,2008,39.0997265,-94.5785667
Knoxville TN,557,67,17,66,32,55,24,59,23,54,2008,35.9606384,-83.9207392
La Crosse-Eau Claire WI,702,66,25,62,35,46,24,50,30,46,2008,44.8651049,-91.4743642
Lafayette IN,582,70,28,45,31,25,31,28,64,50,2008,40.4167022,-86.8752869
Lafayette LA,642,50,25,55,27,60,14,57,17,40,2008,30.2240897,-92.0198427
Lake Charles LA,643,59,34,64,29,63,21,82,42,43,2008,30.2265949,-93.2173758
Lansing MI,551,70,32,57,34,54,38,50,37,45,2008,42.732535,-84.5555347
Laredo TX,749,51,13,35,24,41,19,54,30,53,2008,27.5035613,-99.5075519
Las Vegas NV,839,59,18,45,23,60,15,43,17,38,2008,36.1699412,-115.1398296
Lexington KY,541,76,24,71,44,58,25,48,50,55,2008,38.0405837,-84.5037164
Lima OH,558,65,13,32,36,49,29,41,25,38,2008,40.742551,-84.1052256
Lincoln & Hastings-Kearney NE,722,58,19,50,35,55,20,44,37,47,2008,40.5827492,-98.3915866
Little Rock-Pine Bluff AR,693,64,29,73,30,61,21,45,29,48,2008,34.2025124,-92.0491611
Los Angeles CA,803,54,14,49,26,50,18,44,22,36,2008,34.0522342,-118.2436849
Louisville KY,529,67,25,63,29,79,25,64,24,48,2008,38.2526647,-85.7584557
Lubbock TX,651,59,25,63,26,61,24,58,32,47,2008,33.5778631,-101.8551665
Macon GA,503,66,23,58,32,76,24,59,32,44,2008,32.8406946,-83.6324022
Madison WI,669,67,21,59,31,50,29,61,25,45,2008,43.0730517,-89.4012302
Mankato MN,737,66,14,73,44,46,24,44,46,59,2008,44.1635775,-93.9993996
Marquette MI,553,57,25,68,38,63,25,54,27,43,2008,46.5436199,-87.3953713
Medford-Klamath Falls OR,813,60,14,70,29,42,29,38,23,50,2008,42.224924,-121.7722781
Memphis TN,640,71,30,58,27,64,22,58,25,50,2008,35.1495343,-90.0489801
Meridian MS,711,73,72,69,33,52,38,50,58,43,2008,32.3643098,-88.703656
Miami-Ft. Lauderdale FL,528,58,22,48,22,54,20,39,17,37,2008,26.0947577,-80.1352122
Milwaukee WI,617,64,26,64,33,63,26,53,23,43,2008,43.0389025,-87.9064736
Minneapolis-St. Paul MN,613,63,25,57,30,52,24,46,26,46,2008,44.9374831,-93.2009998
Minot-Bismarck-Dickinson(Williston) ND,687,68,19,73,37,51,28,40,29,46,2008,46.8067257,-100.7865799
Missoula MT,762,63,13,70,30,46,29,65,25,48,2008,46.8721284,-113.9940314
Mobile AL-Pensacola (Ft. Walton Beach) FL,686,64,17,66,27,56,19,51,19,40,2008,30.4684724,-87.2087375
Monroe LA-El Dorado AR,628,61,65,68,32,47,23,51,55,50,2008,33.2152717,-92.64196
Monterey-Salinas CA,828,51,10,45,27,41,23,49,21,41,2008,36.6777372,-121.6555013
Montgomery (Selma) AL,698,68,31,57,28,81,21,54,31,49,2008,32.4068484,-87.0190868
Nashville TN,659,71,29,66,33,65,23,53,30,54,2008,36.1626638,-86.7816016
New Orleans LA,622,61,33,71,28,58,25,50,23,46,2008,29.9510658,-90.0715323
New York NY,501,64,18,48,28,54,23,46,21,37,2008,40.7127753,-74.0059728
Norfolk-Portsmouth-Newport News VA,544,59,24,64,27,45,21,56,22,44,2008,36.8354258,-76.2982742
North Platte NE,740,32,0,33,35,62,54,59,0,38,2008,41.1402759,-100.7601454
Odessa-Midland TX,633,55,18,36,30,47,19,49,31,55,2008,31.9391746,-102.2522487
Oklahoma City OK,650,59,22,53,27,56,21,61,26,48,2008,35.4675602,-97.5164276
Omaha NE,652,66,19,56,30,54,30,62,25,51,2008,41.2565369,-95.9345034
Orlando-Daytona Beach-Melbourne FL,534,62,20,63,26,62,20,50,19,41,2008,,
Ottumwa IA-Kirksville MO,631,81,10,55,39,53,20,100,46,39,2008,,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632,72,19,55,38,57,26,53,45,51,2008,37.0833893,-88.6000478
Palm Springs CA,804,58,11,49,25,58,13,60,15,38,2008,33.8302961,-116.5452921
Panama City FL,656,61,19,70,28,64,16,57,19,34,2008,30.1588129,-85.6602058
Parkersburg WV,597,64,37,70,46,62,36,0,20,40,2008,39.2667418,-81.5615135
Peoria-Bloomington IL,675,69,13,59,33,49,24,37,40,50,2008,40.4566216,-88.9758277
Philadelphia PA,504,75,23,59,30,72,27,57,25,45,2008,40.4406248,-79.9958864
Phoenix AZ,753,61,19,58,26,54,21,50,21,41,2008,33.4483771,-112.0740373
Pittsburgh PA,508,77,25,66,34,72,31,59,29,53,2008,,
Portland OR,820,58,14,55,30,53,22,50,23,41,2008,45.5051064,-122.6750261
Portland-Auburn ME,500,68,22,66,28,79,23,53,20,43,2008,44.021648,-70.2832225
Presque Isle ME,552,82,0,55,44,34,41,66,39,48,2008,46.681153,-68.0158614
Providence RI-New Bedford MA,521,67,19,55,32,68,24,52,30,44,2008,41.8563438,-71.2874209
Quincy IL-Hannibal MO-Keokuk IA,717,67,32,22,41,52,15,25,40,41,2008,,
Raleigh-Durham (Fayetteville) NC,560,70,26,66,29,61,29,53,30,49,2008,35.0478668,-78.8565861
Rapid City SD,764,63,24,67,35,53,20,52,25,51,2008,44.0805434,-103.2310149
Reno NV,811,56,17,64,26,53,20,47,18,41,2008,39.5296329,-119.8138027
Richmond-Petersburg VA,556,67,28,56,32,55,24,44,25,47,2008,,
Roanoke-Lynchburg VA,573,62,21,53,33,60,25,50,30,41,2008,37.3177678,-79.9994997
Rochester MN-Mason City IA-Austin MN,611,100,41,88,39,59,39,78,34,64,2008,,
Rochester NY,538,69,22,68,30,57,24,60,26,46,2008,43.1565779,-77.6088465
Rockford IL,610,71,9,75,29,40,29,66,29,44,2008,42.2711311,-89.0939952
Sacramento-Stockton-Modesto CA,862,59,19,59,28,51,22,47,26,43,2008,37.9570225,-121.2797902
Salisbury MD,576,71,15,67,28,66,23,77,24,52,2008,38.3606736,-75.5993692
Salt Lake City UT,770,56,16,62,30,53,20,53,25,42,2008,40.7607793,-111.8910474
San Angelo TX,661,64,13,33,37,64,21,48,18,39,2008,31.4637723,-100.4370375
San Antonio TX,641,60,27,59,24,60,25,59,23,54,2008,29.4241219,-98.4936282
San Diego CA,825,60,18,53,25,51,23,48,22,39,2008,32.715738,-117.1610838
San Francisco-Oakland-San Jose CA,807,47,19,38,16,31,15,31,13,35,2008,40.4406248,-79.9958864
Santa Barbara-Santa Maria-San Luis Obispo CA,855,56,16,59,27,54,22,43,28,34,2008,34.9226032,-120.4299882
Savannah GA,507,61,24,60,30,61,18,44,20,44,2008,32.0808989,-81.091203
Seattle-Tacoma WA,819,59,13,56,29,51,23,43,18,39,2008,47.4502499,-122.3088165
Sherman TX-Ada OK,657,59,26,91,32,40,11,74,33,48,2008,33.6872249,-96.5753925
Shreveport LA,612,62,20,46,30,60,24,62,22,41,2008,32.5251516,-93.7501789
Sioux City IA,624,67,27,60,43,65,18,51,42,47,2008,42.4963416,-96.4049408
Sioux Falls(Mitchell) SD,725,67,17,60,35,53,28,69,31,52,2008,43.5835394,-96.7118155
South Bend-Elkhart IN,588,64,19,52,32,54,25,45,22,43,2008,41.6843287,-85.9708313
Spokane WA,881,60,16,66,32,56,24,43,25,45,2008,47.6587802,-117.4260465
Springfield MO,619,59,16,60,36,55,20,58,33,44,2008,37.2089572,-93.2922989
Springfield-Holyoke MA,543,61,19,61,34,73,23,58,26,42,2008,42.2042586,-72.6162009
St. Joseph MO,638,58,38,64,41,45,19,41,33,60,2008,39.7674578,-94.846681
St. Louis MO,609,63,19,57,32,62,22,54,23,44,2008,38.6270025,-90.1994042
Syracuse NY,555,74,21,63,32,59,27,55,36,44,2008,43.0481221,-76.1474244
Tallahassee FL-Thomasville GA,530,68,20,67,32,62,26,49,31,48,2008,30.3350027,-84.2105744
Tampa-St. Petersburg (Sarasota) FL,539,70,22,60,28,71,20,49,18,40,2008,28.274347,-82.3885783
Terre Haute IN,581,76,19,40,42,53,24,53,42,50,2008,39.4667034,-87.4139092
Toledo OH,547,67,29,61,34,64,23,50,35,47,2008,41.6528052,-83.5378674
Topeka KS,605,65,17,50,32,54,28,55,38,42,2008,39.0473451,-95.6751576
Traverse City-Cadillac MI,540,71,9,100,33,71,29,63,26,48,2008,44.7354212,-85.5946084
Tri-Cities TN-VA,531,66,33,64,30,77,22,57,29,55,2008,36.5450182,-82.5555539
Tucson (Sierra Vista) AZ,789,64,19,66,30,54,25,58,25,49,2008,32.2709837,-110.9614306
Tulsa OK,671,63,9,55,27,63,18,38,20,43,2008,36.1539816,-95.992775
Twin Falls ID,760,55,13,76,39,54,23,46,31,48,2008,42.5558381,-114.4700518
Tyler-Longview(Lufkin & Nacogdoches) TX,709,66,19,59,29,63,24,39,26,45,2008,,
Utica NY,526,69,14,47,40,83,12,47,53,48,2008,43.100903,-75.232664
Victoria TX,626,57,46,53,28,50,26,65,0,51,2008,28.8052674,-97.0035982
Waco-Temple-Bryan TX,625,52,33,49,26,51,27,46,33,44,2008,31.6046625,-97.1980025
Washington DC (Hagerstown MD),511,55,19,42,21,43,21,42,17,38,2008,39.642645,-77.721057
Watertown NY,549,67,32,82,39,85,55,90,23,49,2008,43.9747838,-75.9107565
Wausau-Rhinelander WI,705,63,38,64,31,71,22,48,24,46,2008,45.6555505,-89.3920037
West Palm Beach-Ft. Pierce FL,548,66,21,50,28,75,19,38,19,42,2008,27.366166,-80.2467597
Wheeling WV-Steubenville OH,554,64,29,60,35,38,38,54,19,43,2008,40.3668048,-80.6317037
Wichita Falls TX & Lawton OK,627,54,23,60,28,80,22,65,26,47,2008,34.6092311,-98.418011
Wichita-Hutchinson KS,678,60,21,67,32,39,19,46,28,40,2008,37.6871761,-97.330053
Wilkes Barre-Scranton PA,577,67,17,59,34,60,29,66,26,42,2008,41.2343893,-75.8534771
Wilmington NC,550,73,18,64,37,73,28,66,26,49,2008,34.2103894,-77.8868117
Yakima-Pasco-Richland-Kennewick WA,810,57,25,63,33,45,26,39,27,47,2008,46.2529128,-119.230849
Youngstown OH,536,69,15,80,44,59,19,39,28,47,2008,41.0997803,-80.6495194
Yuma AZ-El Centro CA,771,62,56,53,51,66,35,38,39,47,2008,32.6926512,-114.6276916
Zanesville OH,596,51,0,46,27,47,24,59,22,32,2008,39.9403453,-82.0131924
Abilene-Sweetwater TX,662,59,28,37,17,77,26,78,22,65,2009,32.4106903,-99.7653019
Albany GA,525,60,20,57,20,55,31,54,42,58,2009,31.5785074,-84.155741
Albany-Schenectady-Troy NY,532,62,15,56,22,45,43,59,38,62,2009,42.7636479,-73.6536209
Albuquerque-Santa Fe NM,790,61,18,55,21,46,36,56,42,73,2009,35.658802,-105.9603685
Alexandria LA,644,45,37,41,21,57,17,47,28,58,2009,31.3112936,-92.4451371
Alpena MI,583,79,0,0,100,100,100,0,0,89,2009,45.0616794,-83.4327528
Amarillo TX,634,51,9,53,21,34,28,38,31,59,2009,35.2219971,-101.8312969
Anchorage AK,743,48,14,68,18,27,32,50,29,56,2009,61.2180556,-149.9002778
Atlanta GA,524,60,24,46,17,42,33,53,35,56,2009,33.7489954,-84.3879824
Augusta GA,520,62,38,59,20,41,31,57,40,72,2009,33.4734978,-82.0105148
Austin TX,635,51,23,46,18,44,33,59,33,57,2009,30.267153,-97.7430608
Bakersfield CA,800,46,15,42,19,33,27,44,42,41,2009,35.3732921,-119.0187125
Baltimore MD,512,66,31,56,21,54,45,61,49,67,2009,39.2903848,-76.6121893
Bangor ME,537,64,15,70,33,43,46,55,61,68,2009,44.8016128,-68.7712257
Baton Rouge LA,716,59,26,55,19,46,30,61,55,72,2009,30.4514677,-91.1871466
Beaumont-Port Arthur TX,692,57,27,44,22,47,36,66,41,70,2009,30.080174,-94.1265562
Bend OR,821,53,14,60,19,34,39,44,12,45,2009,44.0581728,-121.3153096
"Billings, MT",756,57,9,53,28,45,38,50,43,64,2009,45.7832856,-108.5006904
Biloxi-Gulfport MS,746,54,23,66,17,42,21,56,25,52,2009,30.3674198,-89.0928155
Binghamton NY,502,58,19,59,25,36,43,68,54,49,2009,42.0986867,-75.9179738
Birmingham AL,630,64,40,60,21,54,27,57,38,63,2009,33.5185892,-86.8103567
Bluefield-Beckley-Oak Hill WV,559,60,21,100,21,34,54,69,18,43,2009,37.2698395,-81.2223195
Boise ID,757,49,19,61,23,48,35,53,44,67,2009,43.6150186,-116.2023137
Boston MA-Manchester NH,506,63,19,50,20,60,40,55,36,61,2009,42.929687,-71.4352177
Bowling Green KY,736,61,17,67,20,58,36,65,42,70,2009,36.9685219,-86.4808043
Buffalo NY,514,69,23,57,23,52,43,45,55,68,2009,42.8864468,-78.8783689
Burlington VT-Plattsburgh NY,523,61,21,54,21,52,42,58,47,60,2009,44.6988382,-73.3804304
Butte-Bozeman MT,754,48,31,51,28,33,43,46,43,57,2009,45.671834,-111.089227
Casper-Riverton WY,767,67,14,72,26,57,35,63,29,43,2009,42.8505217,-106.3085313
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,637,65,25,67,26,47,42,54,60,68,2009,41.9778795,-91.6656232
Champaign & Springfield-Decatur IL,648,64,26,58,25,32,41,44,73,66,2009,,
Charleston SC,519,69,34,52,21,45,39,58,46,75,2009,32.7764749,-79.9310512
Charleston-Huntington WV,564,69,25,55,23,43,41,64,46,72,2009,38.4123775,-82.4270257
Charlotte NC,517,58,20,50,20,46,32,62,41,60,2009,35.2270869,-80.8431267
Charlottesville VA,584,65,31,66,22,47,46,55,33,72,2009,38.0293059,-78.4766781
Chattanooga TN,575,61,21,69,19,48,35,55,33,59,2009,35.0456297,-85.3096801
Cheyenne WY-Scottsbluff NE,759,57,21,64,21,34,33,56,28,53,2009,41.876312,-103.637984
Chicago IL,602,59,21,49,19,42,37,54,36,58,2009,41.8781136,-87.6297982
Chico-Redding CA,868,52,10,52,22,47,30,50,58,44,2009,39.775148,-121.8699698
Cincinnati OH,515,61,19,49,20,39,46,58,39,66,2009,39.1031182,-84.5120196
Clarksburg-Weston WV,598,70,21,48,21,35,46,80,47,54,2009,39.2638017,-80.326903
Cleveland-Akron (Canton) OH,510,60,23,53,21,39,36,58,35,56,2009,41.0953742,-81.5867677
Colorado Springs-Pueblo CO,752,52,14,49,21,32,34,59,29,53,2009,38.7978203,-104.7935738
Columbia SC,546,61,22,58,21,39,34,56,56,64,2009,34.0007104,-81.0348144
Columbia-Jefferson City MO,604,70,38,62,25,38,42,56,68,74,2009,38.9517053,-92.3340724
Columbus GA,522,63,21,62,21,48,30,47,47,81,2009,32.4609764,-84.9877094
Columbus OH,535,64,18,48,20,38,42,56,41,67,2009,39.9611755,-82.9987942
Columbus-Tupelo-West Point MS,673,57,23,51,23,35,38,54,94,76,2009,34.2708332,-88.7150718
Corpus Christi TX,600,53,15,49,20,34,26,62,39,67,2009,27.8005828,-97.396381
Dallas-Ft. Worth TX,623,55,20,48,18,43,31,55,31,57,2009,32.7766642,-96.7969879
Davenport IA-Rock Island-Moline IL,682,59,19,60,23,35,34,45,50,67,2009,41.5067003,-90.5151342
Dayton OH,542,59,18,57,22,37,40,61,43,66,2009,39.7589478,-84.1916069
Denver CO,751,54,18,51,19,39,31,58,31,54,2009,39.7392358,-104.990251
Des Moines-Ames IA,679,59,17,57,22,42,36,53,41,64,2009,42.0236281,-93.6097448
Detroit MI,505,61,27,57,20,39,38,54,38,58,2009,42.331427,-83.0457538
Dothan AL,606,55,27,38,16,47,34,53,36,63,2009,31.2232313,-85.3904888
Duluth MN-Superior WI,676,59,19,73,22,44,36,62,43,64,2009,46.7207737,-92.1040796
El Paso TX,765,47,26,41,20,27,32,42,42,70,2009,31.7618778,-106.4850217
Elmira NY,565,55,0,59,21,29,36,51,37,43,2009,42.0897965,-76.8077338
